,2020,2019,2018,2017,2016,2015,2014,2013,2012
Beijing,2.6,1.3,1.4,1.4,1.4,1.4,1.3,1.2,1.3
Tianjing,3.6,3.5,3.5,3.5,3.5,3.5,3.5,3.6,3.6
Hebei,3.5,3.1,3.3,3.7,3.7,3.6,3.6,3.7,3.7
Shanxi,3.1,2.7,3.3,3.4,3.5,3.5,3.4,3.1,3.3
Neimenggu,3.8,3.7,3.6,3.6,3.7,3.7,3.6,3.7,3.7
Liaoning,4.6,4.2,3.9,3.8,3.8,3.4,3.4,3.4,3.6
Jilin,3.4,3.1,3.5,3.5,3.5,3.5,3.4,3.7,3.7
Heilongjiang,3.4,3.5,4,4.2,4.2,4.5,4.5,4.4,4.2
Shanghai,3.7,3.6,3.5,3.9,4.1,4,4.1,4,3.1
Jiangsu,3.2,3,3,3,3,3,3,3,3.1
Zhejiang,2.8,2.5,2.6,2.7,2.9,2.9,3,3,3
Anhui,2.8,2.6,2.8,2.9,3.2,3.1,3.2,3.4,3.7
Fujian,3.8,3.5,3.7,3.9,3.9,3.7,3.5,3.6,3.6
Jiangxi,3.2,2.9,3.4,3.3,3.4,3.4,3.3,3.2,3
Shandong,3.1,3.3,3.4,3.4,3.5,3.4,3.3,3.2,3.3
Henan,3.2,3.2,3,2.8,3,3,3,3.1,3.1
Hubei,3.4,2.4,2.6,2.6,2.4,2.6,3.1,3.5,3.8
Hunan,2.7,2.7,3.6,4,4.2,4.1,4.1,4.2,4.2
Guangdong,2.5,2.3,2.4,2.5,2.5,2.5,2.4,2.4,2.5
Guangxi,2.8,2.6,2.3,2.2,2.9,2.9,3.2,3.3,3.4
Hainan,2.8,2.3,2.3,2.3,2.4,2.3,2.3,2.2,2
Chongqing,4.5,2.6,3,3.4,3.7,3.6,3.5,3.4,3.3
Sichuan,3.6,3.3,3.5,4,4.2,4.1,4.2,4.1,4
Guizhou,3.8,3.1,3.2,3.2,3.2,3.3,3.3,3.3,3.3
Yunnan,3.9,3.3,3.4,3.2,3.6,4,4,4,4
Xizang,2.9,2.9,2.8,2.7,2.6,2.5,2.5,2.5,2.6
Shaanxi,3.6,3.2,3.2,3.3,3.3,3.4,3.3,3.3,3.2
Gansu,3.3,3,2.8,2.7,2.2,2.1,2.2,2.3,2.7
Qinghai,2.1,2.2,3,3.1,3.1,3.2,3.2,3.3,3.4
Ningxia,3.9,3.7,3.9,3.9,3.9,4,4,4.1,4.2
Xinjiang,2.4,2.1,2.4,2.6,2.5,2.9,3.2,3.4,3.4